id,name,facility_type,ownership,district,district_mapping_confident,subdistrict,pincode,latitude,longitude,coordinate_status,coordinate_confidence,coordinate_source,source,source_record_id,verification_status,facility_category,facility_care_type,medicine_system,telephone,mobile_number,emergency_number,website,specialties_raw,service_availability_default,diagnostic_availability_default,medicine_availability_default
MED-WB-FAC-000013,Kamarda B.P.H.C,chc,government_public_health_system,MEDINIPUR EAST,True,Khejuri I,,21.922034,87.830162,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000013,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000014,Dantan RH,chc,government_public_health_system,MEDINIPUR WEST,True,Dantan I,,21.954183,87.2785,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000014,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000015,Khandarui RH,chc,government_public_health_system,MEDINIPUR WEST,True,Dantan II,,21.956467,87.41365,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000015,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000016,Raidighi Rural Hosp.,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Mathurapur - II Block,,21.998283,88.4418,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000016,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000017,Bhupatinagar Mugberia RH,chc,government_public_health_system,MEDINIPUR EAST,True,Bhagawanpur II,,22.000833,87.727817,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000017,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000018,Kharikamathani RH,chc,government_public_health_system,MEDINIPUR WEST,True,Nayagram,,22.008167,87.148017,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000018,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000019,Patashpur RH,chc,government_public_health_system,MEDINIPUR EAST,True,Pataspur II,,22.02685,87.5473,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000019,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000020,Reapara RH,chc,government_public_health_system,MEDINIPUR EAST,True,Nandigram II,,22.042867,87.90465,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000020,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000021,Gonara BPHC,chc,government_public_health_system,MEDINIPUR EAST,True,Pataspur I,,22.074883,87.642733,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000021,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000022,Barghasipur BPHC,chc,government_public_health_system,MEDINIPUR EAST,True,Haldia,,22.077353,88.139032,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000022,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000023,Kulpi BPHC,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Kulpi Block,,22.082283,88.247733,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000023,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000024,Belda RH,chc,government_public_health_system,MEDINIPUR WEST,True,Narayangarh,,22.0841,87.328683,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000024,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000025,Erashal Rural Hospital,chc,government_public_health_system,MEDINIPUR EAST,True,Chandipur,,22.090233,87.86185,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000025,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000026,Bhagawanpur RH,chc,government_public_health_system,MEDINIPUR EAST,True,Bhagawanpur I,,22.101817,87.7524,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000026,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000027,Joynagar Rural Hosp,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Kultali Block,,22.103717,88.5713,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000027,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000028,Amlat BPHC,chc,government_public_health_system,MEDINIPUR EAST,True,Sutahata,,22.122139,88.106629,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000028,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000029,Mathurapur Rural Hospital,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Mathurapur - I Block,,22.12429,88.38995,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000029,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000030,Keshiari RH,chc,government_public_health_system,MEDINIPUR WEST,True,Keshiari,,22.127133,87.228867,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000030,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000031,Naiyarat Rural Hosp,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Mandirabazar Block,,22.133317,88.338767,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000031,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000032,Nimpith Sree Ramkrishna Rural Hosp.,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Joynagar - II Block,,22.1552,88.44005,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000032,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000033,Gosaba RH,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Gosaba Block,,22.173383,88.804733,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000033,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000034,Sabang RH,chc,government_public_health_system,MEDINIPUR WEST,True,Sabang,,22.1805,87.59305,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000034,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000035,Basulia Rural Hospital,chc,government_public_health_system,MEDINIPUR EAST,True,Mahisadal,,22.189267,87.9812,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000035,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000036,Basanti Rural Hosp,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Basanti Block,,22.19186,88.71163,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000036,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000037,Khejurberia Rural Hospital,chc,government_public_health_system,MEDINIPUR EAST,True,Nandakumar,,22.195633,87.92905,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000037,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000038,Gopiballavpur RH,chc,government_public_health_system,MEDINIPUR WEST,True,Gopiballavpur I,,22.199233,86.899183,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000038,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000039,Bhangagarh RH,chc,government_public_health_system,MEDINIPUR WEST,True,Sankrail,,22.2011,87.140433,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000039,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000040,Panchagram Rural Panchagram Rural HospitalHosp,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Diamondhorbour - I Block,,22.220183,88.237867,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000040,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000041,Magrahat Rural Hospital,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Mograhat - II Block,,22.24025,88.3683,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000041,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000042,Padmerhat Rural Hosp.,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Joynagar - I Block,,22.24525,88.447883,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000042,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000043,Gar Moyna BPHC,chc,government_public_health_system,MEDINIPUR EAST,True,Moyna,,22.248733,87.78245,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000043,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000044,Sarisha BPHC,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Diamondhorbour - II Block,,22.249967,88.185383,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000044,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000045,Baneswarpur Rural Hospital,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Mograhat - I Block,,22.251017,88.292233,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000045,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000046,Kamalpur RH,chc,government_public_health_system,HOWRAH,True,Shyampur I,,22.260583,87.989518,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000046,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000047,Tapsia RH,chc,government_public_health_system,MEDINIPUR WEST,True,Gopiballavpur II,,22.2613,86.912483,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000047,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000048,Pingla RH,chc,government_public_health_system,MEDINIPUR WEST,True,Pingla,,22.286067,87.582283,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000048,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000049,Falta BPHC,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Falta Block,,22.292033,88.1057,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000049,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000050,Hijli RH,chc,government_public_health_system,MEDINIPUR WEST,True,Kharagpur I,,22.305833,87.306033,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000050,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000051,Changual BPHC,chc,government_public_health_system,MEDINIPUR WEST,True,Kharagpur II,,22.31095,87.37985,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000051,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000052,Jhumjhumi RH,chc,government_public_health_system,HOWRAH,True,Shyampur II,,22.31426029,87.9725053,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000052,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000053,Jhargram Mohanpur RH,chc,government_public_health_system,MEDINIPUR WEST,True,Jhargram,,22.320017,87.014317,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000053,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000054,Anantapur Rural Hospital,chc,government_public_health_system,MEDINIPUR EAST,True,Tamluk,,22.3234,87.8205,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000054,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000055,Sandeshkhali RH,chc,government_public_health_system,24 PARAGANAS NORTH,True,Sandeshkhali II,,22.350533,88.906433,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000055,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000056,Chandidaulatabad BPHC,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Bishnupur - I Block,,22.355467,88.294383,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000056,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000057,Amtala Rural Hosp.,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Bishnupur - II Block,,22.36567,88.27181,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000057,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000058,H S Janubasan Rural Hospital,chc,government_public_health_system,MEDINIPUR EAST,True,Sahid Matangini,,22.365683,87.887883,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000058,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000059,Gutiyarisarif BPHC,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Canning - I Block,,22.372983,88.54655,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000059,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000060,Matherdighi Rural Hosp,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Canning - II Block,,22.376383,88.746867,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000060,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000061,Debra RH,chc,government_public_health_system,MEDINIPUR WEST,True,Debra,,22.3816,87.561833,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000061,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000062,L.B. Dutta Rural Hosp.,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Budge Budge - II Block,,22.388967,88.198217,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000062,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000063,Hariharpur BPHC,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Baruipur Block,,22.391983,88.431283,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000063,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000064,Mugkalyan RH,chc,government_public_health_system,HOWRAH,True,Bagnan II,,22.41276837,87.97718371,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000064,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000065,Sonarpur Rural Hosp.,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Sonarpur Block,,22.417267,88.429567,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000065,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000066,Uttar Mechagram Rural Hospital,chc,government_public_health_system,MEDINIPUR EAST,True,Panskura I,,22.424033,87.7499,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000066,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000067,Samali BPHC,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Bishnupur - II Block,,22.425867,88.255283,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000067,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000068,Ghoshpur Rural Hospital,chc,government_public_health_system,24 PARAGANAS NORTH,True,Sandeshkhali I,,22.433867,88.867317,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000068,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000069,Sandelerbil Rural Hospital,chc,government_public_health_system,24 PARAGANAS NORTH,True,Hingalgunj,,22.447383,88.969667,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000069,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000070,Chilkigarh Rural Hospital,chc,government_public_health_system,MEDINIPUR WEST,True,Jamboni,,22.4500553,86.8737318,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000070,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000071,Paikpari Rural Hospital,chc,government_public_health_system,MEDINIPUR EAST,True,Kolaghat,,22.453717,87.871983,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000071,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000072,Deypara BPHC,chc,government_public_health_system,MEDINIPUR WEST,True,Medinipur Sadar,,22.460783,87.1565,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000072,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000073,Byanjanheria Charial Rural Hosp,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Budge Budge - I Block,,22.463233,88.184333,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000073,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000074,Bagnan RH,chc,government_public_health_system,HOWRAH,True,Bagnan I,,22.46665447,87.96436058,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000074,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000075,Chandipur Manikpur RH,chc,government_public_health_system,HOWRAH,True,Uluberia I,,22.47096052,88.02632642,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000075,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000076,Sarsuna BPHC,chc,government_public_health_system,24 PARAGANAS SOUTH,True,T. M. Block,,22.478217,88.29125,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000076,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000077,Nalmuri Rural Hosp,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Bhangore - I Block,,22.4998,88.600817,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000077,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000078,Minakhan RH,chc,government_public_health_system,24 PARAGANAS NORTH,True,Minakha,,22.501033,88.726467,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000078,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000079,Brindabanpur RH,chc,government_public_health_system,HOWRAH,True,Uluberia II,,22.50150824,88.09925744,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000079,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000080,Jirongacha Rural Hospital,chc,government_public_health_system,24 PARAGANAS SOUTH,True,Bhangore - II Block,,22.5416,88.53335,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000080,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000081,Sonakhali RH,chc,government_public_health_system,MEDINIPUR WEST,True,Daspur II,,22.549817,87.767267,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000081,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
MED-WB-FAC-000082,Keshpur RH,chc,government_public_health_system,MEDINIPUR WEST,True,Keshpur,,22.552183,87.45815,PRESENT,SOURCE_REPORTED,ALL_INDIA_HEALTH_CENTRES_DIRECTORY,All India Health Centres Directory,HC-000082,SOURCE_COORDINATE_PRESENT,,,,,,,,,available,available,available
